file,threshold,winner,rounds,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,AVG,Moray Charles GRANT (SNP),,match,no_match,no_match,no_match,match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match,match,no_match,no_match,no_match,match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match
Oakland_11082022_Schoolboarddistrict4.csv,OM,PECOLIA MANIGO,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match
Oakland_11082022_Schoolboarddistrict4.csv,PM,MIKE HUTCHINSON,,no_match,match,no_match,no_match,match,match,match,no_winner,match,no_match,match,match,match,match,match,match,no_match,match,no_match,no_match,match,match,match,no_winner,match,no_match,match,match,match,match,match,match
Oakland_11082022_Schoolboarddistrict4.csv,AVG,MIKE HUTCHINSON,,no_match,match,no_match,no_match,match,match,match,no_winner,match,no_match,match,match,match,match,match,match,no_match,match,no_match,no_match,match,match,match,no_winner,match,no_match,match,match,match,match,match,match
AnnandaleNorthWard_dumgal12-12.csv,OM,(Con) Peter DIGGLE,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,match,no_match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,match,no_match,no_match,no_match,no_match,no_match,match
AnnandaleNorthWard_dumgal12-12.csv,PM,(Con) Roger GRANT,,no_match,no_match,no_match,no_match,match,no_match,match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,match,no_match,match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
AnnandaleNorthWard_dumgal12-12.csv,AVG,(Con) Peter DIGGLE,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,match,no_match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,match,no_match,no_match,no_match,no_match,no_match,match
Ward3-ForfarandDistrict_ward3.csv,OM,Linda CLARK (SNP),,match,no_match,match,no_match,match,no_match,match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,match,no_match,match,no_match,match,no_match,match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
Ward3-ForfarandDistrict_ward3.csv,PM,Ian MCLAREN (Ind),,no_match,match,no_match,match,no_match,match,no_match,no_winner,no_match,match,match,no_match,no_match,match,match,match,no_match,match,no_match,match,no_match,match,no_match,no_winner,no_match,match,match,no_match,no_match,match,match,match
Ward3-ForfarandDistrict_ward3.csv,AVG,Ian MCLAREN (Ind),,no_match,match,no_match,match,no_match,match,no_match,no_winner,no_match,match,match,no_match,no_match,match,match,match,no_match,match,no_match,match,no_match,match,no_match,no_winner,no_match,match,match,no_match,no_match,match,match,match
