file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
CastleWard_stirling12-04.csv__hit66,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit67,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit68,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit69,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit70,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit71,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit72,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit73,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit74,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit75,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit76,John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit77,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit78,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit79,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit80,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit81,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit82,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit83,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit84,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit85,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit86,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit87,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
