file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit50,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Cam Gordon,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit51,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit52,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit53,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit54,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit55,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit56,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit57,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit58,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit59,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit60,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit61,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit62,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit63,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit64,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon
Minneapolis_11022021_CityCouncilWard2.csv__hit65,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit66,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit67,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit68,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit69,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit70,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Cam Gordon
Minneapolis_11022021_CityCouncilWard2.csv__hit71,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit72,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit73,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit74,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit75,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit76,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
