election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit142",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit143",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit144",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit145",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit146",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit147",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit148",5,2000.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit149",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit150",5,1999.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit151",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit152",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit153",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit154",5,2000.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit155",5,1988.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit156",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit157",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit158",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit159",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit160",5,1998.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit161",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit162",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit163",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit164",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit165",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit166",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit167",5,1998.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit168",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit169",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit170",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit171",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit172",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit173",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit174",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit175",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit176",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit177",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit178",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit179",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit180",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit181",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit182",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit183",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit184",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit185",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit186",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit187",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit188",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit189",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit190",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit191",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit192",5,1994.0,21
