file,first_flip_percent,method
Ward11-PerthCityNorth_Perth and Kinross 2024 by-election Ward 11,0.4,AVG
Ward11-PerthCityNorth_perth-kinross17-11,0.4,AVG
Ward11AirdrieSouth_n-lanarks12-11,0.4,AVG
Ward11Hillhead_Glasgow 2023 by-election Hillhead,0.4,AVG
Ward11Hillhead_glasgow17-011.csv,0.4,AVG
Ward12-AirdandLochNess_highland17-12,0.4,AVG
Ward12-AirdrieSouth_n-lanarks17-012,0.4,AVG
Ward12-AnnandaleEastandEskdale_ward12.csv,0.4,AVG
Ward12-KirkcaldyEast_PreferenceProfile_V0001_Ward-12-Kirkcaldy-East_06052022_151925.csv,0.4,AVG
Ward12-PerthCityCentre_perth-kinross17-12,0.4,AVG
Ward13-CambuslangWest_s-lanarks17-13,0.4,AVG
Ward13-Fortissat_n-lanarks17-013,0.4,AVG
Ward13-GlenrothesWestKinglassie_fife17-13.csv,0.4,AVG
Ward13-InvernessWest_highland 2021 by-election Inverness West,0.4,AVG
Ward13-InvernessWest_highland17-13,0.4,AVG
Ward13-Kincorth-Loirston_aberdeen12-13.csv,0.4,AVG
Ward13-Leith_ward13.csv,0.4,AVG
Ward13Fortissat_North Lanarkshire 2024 by-election Ward 13,0.4,AVG
Ward13Garscadden-Scotstounhill_Ward13,0.4,AVG
Ward14-CambuslangEast_s-lanarks17-14,0.4,AVG
Ward14-CambuslangEast_ward_14_cambuslang_east_preference_profile,0.4,AVG
Ward14-Craigentinny-Duddingston_edinburgh17-14.csv,0.4,AVG
Ward14-GlenrothesNorthLeslieMarkinch_PreferenceProfile_V0001_Ward-14-Glenrothes-North-Leslie-and-Markinch_06052022_151925.csv,0.4,AVG
Ward14-GlenrothesNorthLeslieMarkinch_fife17-14.csv,0.4,AVG
Ward14-HuntlyStrathbogieandHoweofAlford_preferenceprofile_v0001_ward-14-huntly-strathbogie-and-howe-of-alford_06052022_172124.csv,0.4,AVG
Ward14-InvernessCentral_Highland 2024 by-election Ward 14,0.4,AVG
Ward14Drumchapel-Anniesland_Glasgow 2024 by-election Ward 14,0.4,AVG
Ward14Drumchapel-Anniesland_glasgow12-14.csv,0.4,AVG
Ward15-Blantyre_s-lanarks12-15,0.4,AVG
Ward15-Blantyre_s-lanarks17-15,0.4,AVG
Ward15-GlenrothesCentralThornton_PreferenceProfile_V0001_Ward-15-Glenrothes-Central-and-Thornton_06052022_145551.csv,0.4,AVG
Ward15Maryhill-Kelvin_glasgow12-15.csv,0.4,AVG
Ward15Maryhill_Glasgow 2024 by-election Ward 15,0.4,AVG
Ward15Maryhill_Ward15,0.4,AVG
Ward16-InvernessMillburn_highland17-16,0.4,AVG
Ward16-Liberton-Gilmerton_ward16.csv,0.4,AVG
Ward16Canal_glasgow12-16.csv,0.4,AVG
Ward17-HamiltonNorthandEast_s-lanarks12-17,0.4,AVG
Ward17-HamiltonNorthandEast_s-lanarks17-17,0.4,AVG
Ward17-MotherwellWest_n-lanarks17-017,0.4,AVG
Ward17-NorthKincardine_aberdeenshire17-17.csv,0.4,AVG
Ward17-Portobello-Craigmillar_ward17.csv,0.4,AVG
Ward17-TayBridgehead_PreferenceProfile_V0001_Ward-17-Tay-Bridgehead_06052022_145551.csv,0.4,AVG
Ward17Springburn-Robroyston_Ward17,0.4,AVG
Ward17SpringburnRobroyston_glasgow17-017.csv,0.4,AVG
Ward17Springburn_glasgow12-17.csv,0.4,AVG
Ward18-HamiltonWestandEarnock_s-lanarks17-18,0.4,AVG
Ward18-HamiltonWestandEarnock_ward_18_hamilton_west_and_earnock_preference_profile,0.4,AVG
Ward18-StonehavenandLowerDeeside_aberdeenshire17-18.csv,0.4,AVG
