file,threshold,winner
SGE2015 LA Pref Data_NA_Monaro.csv,PM,BARILARO John
SGE2015 LA Pref Data_NA_Monaro.csv,AVG,BARILARO John
SGE2015 LA Pref Data_NA_Epping.csv,OM,TUDEHOPE Damien
SGE2015 LA Pref Data_NA_Epping.csv,PM,TUDEHOPE Damien
SGE2015 LA Pref Data_NA_Epping.csv,AVG,TUDEHOPE Damien
SGE2015 LA Pref Data_NA_Macquarie Fields.csv,OM,CHANTHIVONG Anoulack
SGE2015 LA Pref Data_NA_Macquarie Fields.csv,PM,CHANTHIVONG Anoulack
SGE2015 LA Pref Data_NA_Macquarie Fields.csv,AVG,CHANTHIVONG Anoulack
SGE2015 LA Pref Data_NA_Clarence.csv,OM,GULAPTIS Chris
SGE2015 LA Pref Data_NA_Clarence.csv,PM,GULAPTIS Chris
SGE2015 LA Pref Data_NA_Clarence.csv,AVG,GULAPTIS Chris
SGE2015 LA Pref Data_NA_Charlestown.csv,OM,HARRISON Jodie
SGE2015 LA Pref Data_NA_Charlestown.csv,PM,HARRISON Jodie
SGE2015 LA Pref Data_NA_Charlestown.csv,AVG,HARRISON Jodie
SGE2015 LA Pref Data_NA_Tamworth.csv,OM,ANDERSON Kevin
SGE2015 LA Pref Data_NA_Tamworth.csv,PM,ANDERSON Kevin
SGE2015 LA Pref Data_NA_Tamworth.csv,AVG,ANDERSON Kevin
SGE2015 LA Pref Data_NA_Rockdale.csv,OM,KAMPER Steve
SGE2015 LA Pref Data_NA_Rockdale.csv,PM,KAMPER Steve
SGE2015 LA Pref Data_NA_Rockdale.csv,AVG,KAMPER Steve
SGE2015 LA Pref Data_NA_Davidson.csv,OM,O'DEA Jonathan
SGE2015 LA Pref Data_NA_Davidson.csv,PM,O'DEA Jonathan
SGE2015 LA Pref Data_NA_Davidson.csv,AVG,O'DEA Jonathan
SGE2015 LA Pref Data_NA_Myall Lakes.csv,OM,BROMHEAD Stephen
SGE2015 LA Pref Data_NA_Myall Lakes.csv,PM,BROMHEAD Stephen
SGE2015 LA Pref Data_NA_Myall Lakes.csv,AVG,BROMHEAD Stephen
SGE2015 LA Pref Data_NA_Coogee.csv,OM,NOTLEY-SMITH Bruce
SGE2015 LA Pref Data_NA_Coogee.csv,PM,NOTLEY-SMITH Bruce
SGE2015 LA Pref Data_NA_Coogee.csv,AVG,NOTLEY-SMITH Bruce
SGE2015 LA Pref Data_NA_South Coast.csv,OM,HANCOCK Shelley
SGE2015 LA Pref Data_NA_South Coast.csv,PM,HANCOCK Shelley
SGE2015 LA Pref Data_NA_South Coast.csv,AVG,HANCOCK Shelley
SGE2015 LA Pref Data_NA_Summer Hill.csv,OM,HAYLEN Jo
SGE2015 LA Pref Data_NA_Summer Hill.csv,PM,HAYLEN Jo
SGE2015 LA Pref Data_NA_Summer Hill.csv,AVG,HAYLEN Jo
SGE2015 LA Pref Data_NA_Wyong.csv,OM,HARRIS David
SGE2015 LA Pref Data_NA_Wyong.csv,PM,HARRIS David
SGE2015 LA Pref Data_NA_Wyong.csv,AVG,HARRIS David
SGE2015 LA Pref Data_NA_Heffron.csv,OM,HOENIG Ron
SGE2015 LA Pref Data_NA_Heffron.csv,PM,HOENIG Ron
SGE2015 LA Pref Data_NA_Heffron.csv,AVG,HOENIG Ron
SGE2015 LA Pref Data_NA_Oatley.csv,OM,COURE Mark
SGE2015 LA Pref Data_NA_Oatley.csv,PM,COURE Mark
SGE2015 LA Pref Data_NA_Oatley.csv,AVG,COURE Mark
SGE2015 LA Pref Data_NA_Parramatta.csv,OM,LEE Geoff
SGE2015 LA Pref Data_NA_Parramatta.csv,PM,LEE Geoff
SGE2015 LA Pref Data_NA_Parramatta.csv,AVG,LEE Geoff
SGE2015 LA Pref Data_NA_East Hills.csv,OM,BROOKES Glenn
SGE2015 LA Pref Data_NA_East Hills.csv,PM,BROOKES Glenn
SGE2015 LA Pref Data_NA_East Hills.csv,AVG,BROOKES Glenn
SGE2015 LA Pref Data_NA_Vaucluse.csv,OM,UPTON Gabrielle
SGE2015 LA Pref Data_NA_Vaucluse.csv,PM,UPTON Gabrielle
SGE2015 LA Pref Data_NA_Vaucluse.csv,AVG,UPTON Gabrielle
SGE2015 LA Pref Data_NA_Auburn.csv,OM,FOLEY Luke
SGE2015 LA Pref Data_NA_Auburn.csv,PM,FOLEY Luke
SGE2015 LA Pref Data_NA_Auburn.csv,AVG,FOLEY Luke
SGE2015 LA Pref Data_NA_Shellharbour.csv,OM,WATSON Anna
SGE2015 LA Pref Data_NA_Shellharbour.csv,PM,WATSON Anna
SGE2015 LA Pref Data_NA_Shellharbour.csv,AVG,WATSON Anna
SGE2015 LA Pref Data_NA_Murray.csv,OM,PICCOLI Adrian
SGE2015 LA Pref Data_NA_Murray.csv,PM,PICCOLI Adrian
SGE2015 LA Pref Data_NA_Murray.csv,AVG,PICCOLI Adrian
SGE2015 LA Pref Data_NA_Sydney.csv,OM,GREENWICH Alex
SGE2015 LA Pref Data_NA_Sydney.csv,PM,GREENWICH Alex
SGE2015 LA Pref Data_NA_Sydney.csv,AVG,GREENWICH Alex
SGE2015 LA Pref Data_NA_Camden.csv,OM,PATTERSON Chris
SGE2015 LA Pref Data_NA_Camden.csv,PM,PATTERSON Chris
SGE2015 LA Pref Data_NA_Camden.csv,AVG,PATTERSON Chris
SGE2015 LA Pref Data_NA_Strathfield.csv,OM,McKAY Jodi
SGE2015 LA Pref Data_NA_Strathfield.csv,PM,McKAY Jodi
SGE2015 LA Pref Data_NA_Strathfield.csv,AVG,McKAY Jodi
SGE2015 LA Pref Data_NA_Cronulla.csv,OM,SPEAKMAN Mark
SGE2015 LA Pref Data_NA_Cronulla.csv,PM,SPEAKMAN Mark
SGE2015 LA Pref Data_NA_Cronulla.csv,AVG,SPEAKMAN Mark
SGE2015 LA Pref Data_NA_Pittwater.csv,OM,STOKES Rob
SGE2015 LA Pref Data_NA_Pittwater.csv,PM,STOKES Rob
SGE2015 LA Pref Data_NA_Pittwater.csv,AVG,STOKES Rob
SGE2015 LA Pref Data_NA_Riverstone.csv,OM,CONOLLY Kevin
SGE2015 LA Pref Data_NA_Riverstone.csv,PM,CONOLLY Kevin
SGE2015 LA Pref Data_NA_Riverstone.csv,AVG,CONOLLY Kevin
SGE2015 LA Pref Data_NA_Mount Druitt.csv,OM,ATALLA Edmond
SGE2015 LA Pref Data_NA_Mount Druitt.csv,PM,ATALLA Edmond
SGE2015 LA Pref Data_NA_Mount Druitt.csv,AVG,ATALLA Edmond
SGE2015 LA Pref Data_NA_Hornsby.csv,OM,KEAN Matt
SGE2015 LA Pref Data_NA_Hornsby.csv,PM,KEAN Matt
SGE2015 LA Pref Data_NA_Hornsby.csv,AVG,KEAN Matt
SGE2015 LA Pref Data_NA_Orange.csv,OM,GEE Andrew
SGE2015 LA Pref Data_NA_Orange.csv,PM,GEE Andrew
SGE2015 LA Pref Data_NA_Orange.csv,AVG,GEE Andrew
SGE2015 LA Pref Data_NA_Blacktown.csv,OM,ROBERTSON John
SGE2015 LA Pref Data_NA_Blacktown.csv,PM,ROBERTSON John
SGE2015 LA Pref Data_NA_Blacktown.csv,AVG,ROBERTSON John
SG2301 LA Pref Data Clarence.csv,OM,WILLIAMSON Richie
SG2301 LA Pref Data Clarence.csv,PM,WILLIAMSON Richie
SG2301 LA Pref Data Clarence.csv,AVG,WILLIAMSON Richie
SG2301 LA Pref Data Oatley.csv,OM,COURE Mark
SG2301 LA Pref Data Oatley.csv,PM,COURE Mark
SG2301 LA Pref Data Oatley.csv,AVG,COURE Mark
SG2301 LA Pref Data Pittwater.csv,OM,AMON Roderick (Rory)
SG2301 LA Pref Data Pittwater.csv,PM,AMON Roderick (Rory)
SG2301 LA Pref Data Pittwater.csv,AVG,AMON Roderick (Rory)
SG2301 LA Pref Data Riverstone.csv,OM,KIRBY Warren
SG2301 LA Pref Data Riverstone.csv,PM,KIRBY Warren
SG2301 LA Pref Data Riverstone.csv,AVG,KIRBY Warren
SG2301 LA Pref Data Tamworth.csv,OM,ANDERSON Kevin
SG2301 LA Pref Data Tamworth.csv,PM,ANDERSON Kevin
SG2301 LA Pref Data Tamworth.csv,AVG,ANDERSON Kevin
SG2301 LA Pref Data Rockdale.csv,OM,KAMPER Steve
SG2301 LA Pref Data Rockdale.csv,PM,KAMPER Steve
SG2301 LA Pref Data Rockdale.csv,AVG,KAMPER Steve
SG2301 LA Pref Data Northern Tablelands.csv,OM,MARSHALL Adam
SG2301 LA Pref Data Northern Tablelands.csv,PM,MARSHALL Adam
SG2301 LA Pref Data Northern Tablelands.csv,AVG,MARSHALL Adam
SG2301 LA Pref Data Bega.csv,OM,HOLLAND Michael
SG2301 LA Pref Data Bega.csv,PM,HOLLAND Michael
SG2301 LA Pref Data Bega.csv,AVG,HOLLAND Michael
SG2301 LA Pref Data Coogee.csv,OM,O'NEILL Marjorie
SG2301 LA Pref Data Coogee.csv,PM,O'NEILL Marjorie
SG2301 LA Pref Data Coogee.csv,AVG,O'NEILL Marjorie
SG2301 LA Pref Data Davidson.csv,OM,CROSS Matt
SG2301 LA Pref Data Davidson.csv,PM,CROSS Matt
SG2301 LA Pref Data Davidson.csv,AVG,CROSS Matt
SG2301 LA Pref Data Blacktown.csv,OM,BALI Stephen
SG2301 LA Pref Data Blacktown.csv,PM,BALI Stephen
SG2301 LA Pref Data Blacktown.csv,AVG,BALI Stephen
SG2301 LA Pref Data Auburn.csv,OM,VOLTZ Lynda
SG2301 LA Pref Data Auburn.csv,PM,VOLTZ Lynda
SG2301 LA Pref Data Auburn.csv,AVG,VOLTZ Lynda
SG2301 LA Pref Data Newtown.csv,OM,LEONG Jenny
SG2301 LA Pref Data Newtown.csv,PM,LEONG Jenny
SG2301 LA Pref Data Newtown.csv,AVG,LEONG Jenny
SG2301 LA Pref Data Londonderry.csv,OM,CAR Prue
SG2301 LA Pref Data Londonderry.csv,PM,CAR Prue
SG2301 LA Pref Data Londonderry.csv,AVG,CAR Prue
SG2301 LA Pref Data Castle Hill.csv,OM,HODGES Mark
SG2301 LA Pref Data Castle Hill.csv,PM,HODGES Mark
SG2301 LA Pref Data Castle Hill.csv,AVG,HODGES Mark
SG2301 LA Pref Data Balmain.csv,OM,SHETTY Kobi
SG2301 LA Pref Data Balmain.csv,PM,SHETTY Kobi
SG2301 LA Pref Data Balmain.csv,AVG,SHETTY Kobi
SG2301 LA Pref Data The Entrance.csv,OM,MEHAN David
SG2301 LA Pref Data The Entrance.csv,PM,MEHAN David
SG2301 LA Pref Data The Entrance.csv,AVG,MEHAN David
SG2301 LA Pref Data Wyong.csv,OM,HARRIS David
SG2301 LA Pref Data Wyong.csv,PM,HARRIS David
SG2301 LA Pref Data Wyong.csv,AVG,HARRIS David
SG2301 LA Pref Data Parramatta.csv,OM,DAVIS Donna
SG2301 LA Pref Data Parramatta.csv,PM,DAVIS Donna
SG2301 LA Pref Data Parramatta.csv,AVG,DAVIS Donna
SG2301 LA Pref Data Camden.csv,OM,QUINNELL Sally
SG2301 LA Pref Data Camden.csv,PM,QUINNELL Sally
SG2301 LA Pref Data Camden.csv,AVG,QUINNELL Sally
SG2301 LA Pref Data Miranda.csv,OM,PETINOS Eleni
SG2301 LA Pref Data Miranda.csv,PM,PETINOS Eleni
SG2301 LA Pref Data Miranda.csv,AVG,PETINOS Eleni
SG2301 LA Pref Data Sydney.csv,OM,GREENWICH Alex
SG2301 LA Pref Data Sydney.csv,PM,GREENWICH Alex
SG2301 LA Pref Data Sydney.csv,AVG,GREENWICH Alex
SG2301 LA Pref Data Leppington.csv,OM,HAGARTY Nathan
SG2301 LA Pref Data Leppington.csv,PM,HAGARTY Nathan
SG2301 LA Pref Data Leppington.csv,AVG,HAGARTY Nathan
SG2301 LA Pref Data Murray.csv,OM,DALTON Helen
SG2301 LA Pref Data Murray.csv,PM,DALTON Helen
SG2301 LA Pref Data Murray.csv,AVG,DALTON Helen
SG2301 LA Pref Data East Hills.csv,OM,WILKINSON Kylie
SG2301 LA Pref Data East Hills.csv,PM,WILKINSON Kylie
SG2301 LA Pref Data East Hills.csv,AVG,WILKINSON Kylie
SG2301 LA Pref Data Orange.csv,OM,DONATO Philip
SG2301 LA Pref Data Orange.csv,PM,DONATO Philip
SG2301 LA Pref Data Orange.csv,AVG,DONATO Philip
SG2301 LA Pref Data Blue Mountains.csv,OM,DOYLE Trish
SG2301 LA Pref Data Blue Mountains.csv,PM,DOYLE Trish
SG2301 LA Pref Data Blue Mountains.csv,AVG,DOYLE Trish
SG2301 LA Pref Data Swansea.csv,OM,CATLEY Yasmin
SG2301 LA Pref Data Swansea.csv,PM,CATLEY Yasmin
SG2301 LA Pref Data Swansea.csv,AVG,CATLEY Yasmin
SG2301 LA Pref Data Charlestown.csv,OM,HARRISON Jodie
SG2301 LA Pref Data Charlestown.csv,PM,HARRISON Jodie
SG2301 LA Pref Data Charlestown.csv,AVG,HARRISON Jodie
SG2301 LA Pref Data Wahroonga.csv,OM,HENSKENS Alister
SG2301 LA Pref Data Wahroonga.csv,PM,HENSKENS Alister
SG2301 LA Pref Data Wahroonga.csv,AVG,HENSKENS Alister
SG2301 LA Pref Data Summer Hill.csv,OM,HAYLEN Jo
SG2301 LA Pref Data Summer Hill.csv,PM,HAYLEN Jo
SG2301 LA Pref Data Summer Hill.csv,AVG,HAYLEN Jo
SG2301 LA Pref Data Cronulla.csv,OM,SPEAKMAN Mark
SG2301 LA Pref Data Cronulla.csv,PM,SPEAKMAN Mark
SG2301 LA Pref Data Cronulla.csv,AVG,SPEAKMAN Mark
SG2301 LA Pref Data Myall Lakes.csv,OM,THOMPSON Tanya
SG2301 LA Pref Data Myall Lakes.csv,PM,THOMPSON Tanya
SG2301 LA Pref Data Myall Lakes.csv,AVG,THOMPSON Tanya
SG2301 LA Pref Data South Coast.csv,OM,BUTLER Liza
SG2301 LA Pref Data South Coast.csv,PM,BUTLER Liza
SG2301 LA Pref Data South Coast.csv,AVG,BUTLER Liza
SG2301 LA Pref Data Lake Macquarie.csv,OM,PIPER Greg
SG2301 LA Pref Data Lake Macquarie.csv,PM,PIPER Greg
SG2301 LA Pref Data Lake Macquarie.csv,AVG,PIPER Greg
SG2301 LA Pref Data Kiama.csv,OM,WARD Gareth
SG2301 LA Pref Data Kiama.csv,PM,WARD Gareth
SG2301 LA Pref Data Kiama.csv,AVG,WARD Gareth
SG2301 LA Pref Data Gosford.csv,OM,TESCH Liesl
SG2301 LA Pref Data Gosford.csv,PM,TESCH Liesl
SG2301 LA Pref Data Gosford.csv,AVG,TESCH Liesl
SG2301 LA Pref Data Shellharbour.csv,OM,WATSON Anna
SG2301 LA Pref Data Shellharbour.csv,PM,WATSON Anna
SG2301 LA Pref Data Shellharbour.csv,AVG,WATSON Anna
SG2301 LA Pref Data Fairfield.csv,OM,SALIBA David
SG2301 LA Pref Data Fairfield.csv,PM,SALIBA David
SG2301 LA Pref Data Fairfield.csv,AVG,SALIBA David
SG2301 LA Pref Data Port Macquarie.csv,OM,WILLIAMS Leslie
SG2301 LA Pref Data Port Macquarie.csv,PM,WILLIAMS Leslie
SG2301 LA Pref Data Port Macquarie.csv,AVG,WILLIAMS Leslie
SG2301 LA Pref Data Strathfield.csv,OM,LI Jason Yat-Sen
SG2301 LA Pref Data Strathfield.csv,PM,LI Jason Yat-Sen
SG2301 LA Pref Data Strathfield.csv,AVG,LI Jason Yat-Sen
SG2301 LA Pref Data Epping.csv,OM,PERROTTET Dominic
SG2301 LA Pref Data Epping.csv,PM,PERROTTET Dominic
SG2301 LA Pref Data Epping.csv,AVG,PERROTTET Dominic
SG2301 LA Pref Data Monaro.csv,OM,WHAN Steven
SG2301 LA Pref Data Monaro.csv,PM,WHAN Steven
SG2301 LA Pref Data Monaro.csv,AVG,WHAN Steven
SG2301 LA Pref Data Penrith.csv,OM,McKEOWN Karen
SG2301 LA Pref Data Penrith.csv,PM,McKEOWN Karen
SG2301 LA Pref Data Penrith.csv,AVG,McKEOWN Karen
SG2301 LA Pref Data Barwon.csv,OM,BUTLER Roy
SG2301 LA Pref Data Barwon.csv,PM,BUTLER Roy
SG2301 LA Pref Data Barwon.csv,AVG,BUTLER Roy
SG2301 LA Pref Data Vaucluse.csv,OM,SLOANE Kellie
SG2301 LA Pref Data Vaucluse.csv,PM,SLOANE Kellie
SG2301 LA Pref Data Vaucluse.csv,AVG,SLOANE Kellie
SG2301 LA Pref Data Kogarah.csv,OM,MINNS Chris
SG2301 LA Pref Data Kogarah.csv,PM,MINNS Chris
SG2301 LA Pref Data Kogarah.csv,AVG,MINNS Chris
SG2301 LA Pref Data Mount Druitt.csv,OM,ATALLA Edmond
SG2301 LA Pref Data Mount Druitt.csv,PM,ATALLA Edmond
SG2301 LA Pref Data Mount Druitt.csv,AVG,ATALLA Edmond
SG2301 LA Pref Data Wollondilly.csv,OM,HANNAN Judy
SG2301 LA Pref Data Wollondilly.csv,PM,HANNAN Judy
