file,threshold,winner,rounds,numCands
AnnandaleNorthWard_dumgal12-12.csv,0.09,(Con) Gail MACGREGOR,3,7
Ward3-ForfarandDistrict_ward3.csv,0.0,Ian MCLAREN (Ind),5,8
Ward3-ForfarandDistrict_ward3.csv,0.01,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.02,Ian MCLAREN (Ind),5,8
Ward3-ForfarandDistrict_ward3.csv,0.03,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.04,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.05,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.06,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.07,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.08,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.09,Ian MCLAREN (Ind),6,8
Ward03-Kilwinning_n-ayrshire12-03.csv,0.0,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.01,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.02,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.03,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.04,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.05,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.06,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.07,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.08,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.09,Joe CULLINANE (Lab),11,11
JedburghandDistrictWard_sc-borders12-09.csv,0.0,Len WYSE (Con),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.01,Jim BROWN (SNP),3,7
JedburghandDistrictWard_sc-borders12-09.csv,0.02,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.03,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.04,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.05,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.06,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.07,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.08,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.09,Jim BROWN (SNP),4,7
ForfarandDistrict_angus12-03.csv,0.0,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.01,(Ind) Ian MCLAREN,6,7
ForfarandDistrict_angus12-03.csv,0.02,(SNP) Lynne DEVINE,5,7
ForfarandDistrict_angus12-03.csv,0.03,(SNP) Lynne DEVINE,5,7
ForfarandDistrict_angus12-03.csv,0.04,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.05,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.06,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.07,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.08,(Ind) Ian MCLAREN,6,7
ForfarandDistrict_angus12-03.csv,0.09,(Ind) Ian MCLAREN,6,7
