file,candidate_cloned,percent,numCands,om,avg,pm
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.4,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.4,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.4,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.5,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.5,4,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.5,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.5,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.6,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.6,4,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.6,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.6,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.7,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.7,4,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.7,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.7,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.8,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.8,4,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.8,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.8,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.9,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.9,4,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.9,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.9,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard2.csv,none,0.1,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.1,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
