file,threshold,winner,rounds
Ward21NorthEast_glasgow17-021.csv,0.29,Maureen BURKE (Lab),8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.0,Moray Charles GRANT (SNP),6
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.01,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,Sam PAYNE (Con),6
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.03,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.04,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.05,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.06,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.07,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.08,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.09,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.1,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.11,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.12,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.13,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.14,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.15,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.16,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.17,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.18,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.19,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.2,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.21,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.22,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.23,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.24,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.25,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.26,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.27,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.28,Sam PAYNE (Con),7
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.29,Sam PAYNE (Con),7
Oakland_11082022_Schoolboarddistrict4.csv,0.0,MIKE HUTCHINSON,3
