election,candidates,complete,incomplete
SG2301 LA Pref Data Leppington.csv,5,27.8,72.2
SG2301 LA Pref Data Murray.csv,10,10.1,89.9
SG2301 LA Pref Data East Hills.csv,4,39.2,60.8
SG2301 LA Pref Data Orange.csv,8,18.7,81.3
SG2301 LA Pref Data Blue Mountains.csv,6,28.2,71.8
SG2301 LA Pref Data Swansea.csv,5,26.3,73.7
SG2301 LA Pref Data Charlestown.csv,4,44.8,55.2
SG2301 LA Pref Data Wahroonga.csv,5,27.5,72.5
SG2301 LA Pref Data Summer Hill.csv,5,49.1,50.9
SG2301 LA Pref Data Cronulla.csv,6,17.6,82.4
SG2301 LA Pref Data Myall Lakes.csv,6,30.2,69.8
SG2301 LA Pref Data South Coast.csv,6,22.6,77.4
SG2301 LA Pref Data Lake Macquarie.csv,6,24.8,75.2
SG2301 LA Pref Data Kiama.csv,5,37.2,62.8
SG2301 LA Pref Data Gosford.csv,7,23.1,76.9
SG2301 LA Pref Data Shellharbour.csv,7,20.3,79.7
SG2301 LA Pref Data Fairfield.csv,7,20.1,79.9
SG2301 LA Pref Data Port Macquarie.csv,8,18.2,81.8
SG2301 LA Pref Data Strathfield.csv,5,38.5,61.5
SG2301 LA Pref Data Epping.csv,6,21.2,78.8
SG2301 LA Pref Data Monaro.csv,7,23.3,76.7
SG2301 LA Pref Data Penrith.csv,7,19.0,81.0
SG2301 LA Pref Data Barwon.csv,8,19.4,80.6
SG2301 LA Pref Data Vaucluse.csv,7,20.6,79.4
SG2301 LA Pref Data Kogarah.csv,4,42.9,57.1
SG2301 LA Pref Data Mount Druitt.csv,4,32.3,67.7
SG2301 LA Pref Data Wollondilly.csv,6,33.1,66.9
SG2301 LA Pref Data Liverpool.csv,6,23.1,76.9
SG2301 LA Pref Data Maitland.csv,7,23.6,76.4
SG2301 LA Pref Data Goulburn.csv,5,32.8,67.2
SG2301 LA Pref Data Upper Hunter.csv,7,20.6,79.4
SG2301 LA Pref Data Cabramatta.csv,6,22.3,77.7
SG2301 LA Pref Data Hornsby.csv,8,22.7,77.3
SG2301 LA Pref Data Badgerys Creek.csv,5,25.0,75.0
SG2301 LA Pref Data Campbelltown.csv,8,16.6,83.4
SG2301 LA Pref Data Willoughby.csv,5,39.3,60.7
SG2301 LA Pref Data Heffron.csv,7,26.6,73.4
SG2301 LA Pref Data Kellyville.csv,5,23.7,76.3
SG2301 LA Pref Data Drummoyne.csv,4,38.8,61.2
SG2301 LA Pref Data Heathcote.csv,6,26.1,73.9
SG2301 LA Pref Data Oxley.csv,7,20.6,79.4
SG2301 LA Pref Data Hawkesbury.csv,8,16.7,83.3
SG2301 LA Pref Data Coffs Harbour.csv,7,25.7,74.3
SG2301 LA Pref Data Maroubra.csv,6,20.2,79.8
SG2301 LA Pref Data Cessnock.csv,7,20.7,79.3
SG2301 LA Pref Data Winston Hills.csv,4,36.3,63.7
SG2301 LA Pref Data Bathurst.csv,8,18.2,81.8
SG2301 LA Pref Data North Shore.csv,7,31.8,68.2
SG2301 LA Pref Data Wagga Wagga.csv,7,27.0,73.0
SG2301 LA Pref Data Lane Cove.csv,5,40.4,59.6
SG2301 LA Pref Data Dubbo.csv,6,26.4,73.6
SG2301 LA Pref Data Lismore.csv,8,30.4,69.6
SG2301 LA Pref Data Tweed.csv,6,21.4,78.6
SG2301 LA Pref Data Ballina.csv,5,41.2,58.8
SG2301 LA Pref Data Ryde.csv,5,24.1,75.9
SG2301 LA Pref Data Keira.csv,4,46.5,53.5
SG2301 LA Pref Data Canterbury.csv,6,25.6,74.4
SG2301 LA Pref Data Granville.csv,6,23.6,76.4
SG2301 LA Pref Data Macquarie Fields.csv,6,23.5,76.5
SG2301 LA Pref Data Prospect.csv,5,37.5,62.5
SG2301 LA Pref Data Newcastle.csv,6,30.3,69.7
SG2301 LA Pref Data Wallsend.csv,7,23.2,76.8
SG2301 LA Pref Data Port Stephens.csv,7,16.7,83.3
SG2301 LA Pref Data Wakehurst.csv,6,30.0,70.0
SG2301 LA Pref Data Cootamundra.csv,7,19.5,80.5
SG2301 LA Pref Data Terrigal.csv,4,29.7,70.3
SG2301 LA Pref Data Holsworthy.csv,5,28.8,71.2
SG2301 LA Pref Data Manly.csv,7,31.6,68.4
SG2301 LA Pref Data Wollongong.csv,4,49.3,50.7
SG2301 LA Pref Data Albury.csv,7,22.5,77.5
SG2301 LA Pref Data Bankstown.csv,8,11.8,88.2
